unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1651690800,2022-05-04 19:00:00,BTC/USDT,39571.34,40000.00,39571.34,39919.53,0.37689394,15045.428944648198
1651687200,2022-05-04 18:00:00,BTC/USDT,39103.45,39750.00,38697.86,39750.00,0.94016628,37371.60963
1651683600,2022-05-04 17:00:00,BTC/USDT,38969.28,38993.03,38908.92,38908.92,1.07887369,41977.810094314795
1651680000,2022-05-04 16:00:00,BTC/USDT,38952.92,39333.06,38952.92,39242.30,0.80863867,31732.841279741002
1651676400,2022-05-04 15:00:00,BTC/USDT,38783.56,38973.45,38783.56,38973.45,0.04127551,1608.6490252095
1651672800,2022-05-04 14:00:00,BTC/USDT,38746.29,38844.39,38746.29,38809.25,0.34315014,13317.399570795
1651669200,2022-05-04 13:00:00,BTC/USDT,38727.47,38727.47,38722.02,38723.85,0.82413516,31913.686315566
1651665600,2022-05-04 12:00:00,BTC/USDT,39130.11,39130.11,38916.53,38981.56,1.05812876,41247.5097456656
1651662000,2022-05-04 11:00:00,BTC/USDT,38927.41,38969.45,38927.41,38969.45,0.48111685,18748.8590302325
1651658400,2022-05-04 10:00:00,BTC/USDT,38954.50,38954.50,38936.10,38936.10,0.29222276,11378.014605636
1651654800,2022-05-04 09:00:00,BTC/USDT,38960.03,38989.10,38821.71,38848.46,1.41525077,54980.312928314204
1651651200,2022-05-04 08:00:00,BTC/USDT,38750.00,39002.21,38726.45,38840.09,0.07918188,3075.4313455691995
1651647600,2022-05-04 07:00:00,BTC/USDT,38424.39,38711.56,38353.58,38711.56,1.56986773,60772.02882195879
1651644000,2022-05-04 06:00:00,BTC/USDT,38223.77,38383.13,38223.77,38383.13,1.07946777,41433.351746720095
1651640400,2022-05-04 05:00:00,BTC/USDT,38068.61,38068.61,38068.61,38068.61,0.00000000,0.0
1651636800,2022-05-04 04:00:00,BTC/USDT,38053.38,38068.61,38053.38,38068.61,0.07896093,3005.9328494073
1651633200,2022-05-04 03:00:00,BTC/USDT,38038.34,38047.38,38038.34,38047.38,0.03668850,1395.9013011299999
1651629600,2022-05-04 02:00:00,BTC/USDT,37968.27,37968.27,37968.27,37968.27,0.00000000,0.0
1651626000,2022-05-04 01:00:00,BTC/USDT,37968.27,37968.27,37968.27,37968.27,0.31136671,11822.055314291698
1651622400,2022-05-04 00:00:00,BTC/USDT,37733.21,37755.57,37733.21,37755.57,0.02643731,998.1557083166999
1651618800,2022-05-03 23:00:00,BTC/USDT,37856.61,37856.61,37856.61,37856.61,0.00000000,0.0
